pair,formation_period,trading_period,cumulative_returns
"('AVB', 'BXP')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",-0.11479568481445668
"('CPT', 'REG')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.08575057983398438
"('CPT', 'EQR')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",-0.11871528625488104
"('NUE', 'WY')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.09316444396972479
"('CPT', 'EQR')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.21002674102783203
"('CPT', 'EQR')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",-0.03009891510010121
"('FRT', 'MAA')","(datetime.date(2000, 7, 3), datetime.date(2001, 7, 2))","(datetime.date(2001, 7, 3), datetime.date(2001, 8, 1))",0.4458017349243164
"('FRT', 'MAA')","(datetime.date(2000, 8, 2), datetime.date(2001, 8, 1))","(datetime.date(2001, 8, 2), datetime.date(2001, 8, 31))",0.32397937774658025
"('FRT', 'MAA')","(datetime.date(2000, 8, 31), datetime.date(2001, 8, 30))","(datetime.date(2001, 8, 31), datetime.date(2001, 9, 29))",0.22407054901123225
"('FRT', 'MAA')","(datetime.date(2000, 10, 2), datetime.date(2001, 10, 1))","(datetime.date(2001, 10, 2), datetime.date(2001, 10, 31))",0.0
"('FRT', 'MAA')","(datetime.date(2000, 10, 31), datetime.date(2001, 10, 30))","(datetime.date(2001, 10, 31), datetime.date(2001, 11, 29))",0.5660514831542987
"('FRT', 'MAA')","(datetime.date(2000, 11, 30), datetime.date(2001, 11, 29))","(datetime.date(2001, 11, 30), datetime.date(2001, 12, 29))",0.0
"('FRT', 'MAA')","(datetime.date(2001, 1, 2), datetime.date(2002, 1, 1))","(datetime.date(2002, 1, 2), datetime.date(2002, 1, 31))",-0.4014873504638672
"('MSI', 'QCOM')","(datetime.date(2001, 2, 1), datetime.date(2002, 1, 31))","(datetime.date(2002, 2, 1), datetime.date(2002, 3, 2))",-1.3715028762817383
"('MSI', 'QCOM')","(datetime.date(2001, 3, 5), datetime.date(2002, 3, 4))","(datetime.date(2002, 3, 5), datetime.date(2002, 4, 3))",0.0
"('AVB', 'CPT')","(datetime.date(2001, 4, 3), datetime.date(2002, 4, 2))","(datetime.date(2002, 4, 3), datetime.date(2002, 5, 2))",-0.31295871734618963
"('UPS', 'WY')","(datetime.date(2001, 5, 3), datetime.date(2002, 5, 2))","(datetime.date(2002, 5, 3), datetime.date(2002, 6, 1))",0.0
"('T', 'VZ')","(datetime.date(2001, 6, 4), datetime.date(2002, 6, 3))","(datetime.date(2002, 6, 4), datetime.date(2002, 7, 3))",-0.024646282196044922
"('CCL', 'HON')","(datetime.date(2001, 7, 3), datetime.date(2002, 7, 2))","(datetime.date(2002, 7, 3), datetime.date(2002, 8, 1))",-0.6331081390380859
"('A', 'AAPL')","(datetime.date(2001, 8, 2), datetime.date(2002, 8, 1))","(datetime.date(2002, 8, 2), datetime.date(2002, 8, 31))",-2.0629734098911285
"('A', 'AAPL')","(datetime.date(2001, 8, 31), datetime.date(2002, 8, 30))","(datetime.date(2002, 8, 31), datetime.date(2002, 9, 29))",-0.2511134296655655
"('CCL', 'TXT')","(datetime.date(2001, 10, 8), datetime.date(2002, 10, 7))","(datetime.date(2002, 10, 8), datetime.date(2002, 11, 6))",-0.16070461273193537
"('AMT', 'GLW')","(datetime.date(2001, 11, 6), datetime.date(2002, 11, 5))","(datetime.date(2002, 11, 6), datetime.date(2002, 12, 5))",0.0
"('AMT', 'GLW')","(datetime.date(2001, 12, 6), datetime.date(2002, 12, 5))","(datetime.date(2002, 12, 6), datetime.date(2003, 1, 4))",0.02159309387206987
"('AMT', 'GLW')","(datetime.date(2002, 1, 8), datetime.date(2003, 1, 7))","(datetime.date(2003, 1, 8), datetime.date(2003, 2, 6))",0.8314723968505859
"('INCY', 'PTC')","(datetime.date(2002, 2, 7), datetime.date(2003, 2, 6))","(datetime.date(2003, 2, 7), datetime.date(2003, 3, 8))",0.15499973297119096
"('INCY', 'PTC')","(datetime.date(2002, 3, 11), datetime.date(2003, 3, 10))","(datetime.date(2003, 3, 11), datetime.date(2003, 4, 9))",0.0
"('INCY', 'PTC')","(datetime.date(2002, 4, 10), datetime.date(2003, 4, 9))","(datetime.date(2003, 4, 10), datetime.date(2003, 5, 9))",-1.4150002002716064
"('BKNG', 'VRSN')","(datetime.date(2002, 5, 9), datetime.date(2003, 5, 8))","(datetime.date(2003, 5, 9), datetime.date(2003, 6, 7))",0.0
"('BKNG', 'VRSN')","(datetime.date(2002, 6, 10), datetime.date(2003, 6, 9))","(datetime.date(2003, 6, 10), datetime.date(2003, 7, 9))",0.0
"('BKNG', 'VRSN')","(datetime.date(2002, 7, 10), datetime.date(2003, 7, 9))","(datetime.date(2003, 7, 10), datetime.date(2003, 8, 8))",-5.8948364257812536
"('AKAM', 'EQIX')","(datetime.date(2002, 8, 8), datetime.date(2003, 8, 7))","(datetime.date(2003, 8, 8), datetime.date(2003, 9, 6))",1.0948934555053693
"('AKAM', 'EQIX')","(datetime.date(2002, 9, 9), datetime.date(2003, 9, 8))","(datetime.date(2003, 9, 9), datetime.date(2003, 10, 8))",0.791717052459715
"('AKAM', 'EQIX')","(datetime.date(2002, 10, 8), datetime.date(2003, 10, 7))","(datetime.date(2003, 10, 8), datetime.date(2003, 11, 6))",-2.5567364692688006
"('AKAM', 'EQIX')","(datetime.date(2002, 11, 6), datetime.date(2003, 11, 5))","(datetime.date(2003, 11, 6), datetime.date(2003, 12, 5))",1.0153923034667969
"('AKAM', 'EQIX')","(datetime.date(2002, 12, 6), datetime.date(2003, 12, 5))","(datetime.date(2003, 12, 6), datetime.date(2004, 1, 4))",-0.3563346862792951
"('AKAM', 'EQIX')","(datetime.date(2003, 1, 8), datetime.date(2004, 1, 7))","(datetime.date(2004, 1, 8), datetime.date(2004, 2, 6))",5.43351459503174
"('MSI', 'QCOM')","(datetime.date(2003, 2, 7), datetime.date(2004, 2, 6))","(datetime.date(2004, 2, 7), datetime.date(2004, 3, 7))",3.0279903411865163
"('MSI', 'QCOM')","(datetime.date(2003, 3, 11), datetime.date(2004, 3, 9))","(datetime.date(2004, 3, 10), datetime.date(2004, 4, 8))",0.12318229675292969
"('MSI', 'QCOM')","(datetime.date(2003, 4, 9), datetime.date(2004, 4, 7))","(datetime.date(2004, 4, 8), datetime.date(2004, 5, 7))",2.2682666778564453
"('MSI', 'QCOM')","(datetime.date(2003, 5, 9), datetime.date(2004, 5, 7))","(datetime.date(2004, 5, 8), datetime.date(2004, 6, 6))",3.7607383728027415
"('INCY', 'PTC')","(datetime.date(2003, 6, 10), datetime.date(2004, 6, 8))","(datetime.date(2004, 6, 9), datetime.date(2004, 7, 8))",-0.21999979019164861
"('AMT', 'CCI')","(datetime.date(2003, 7, 10), datetime.date(2004, 7, 8))","(datetime.date(2004, 7, 9), datetime.date(2004, 8, 7))",0.20059585571289062
"('BKNG', 'VRSN')","(datetime.date(2003, 8, 8), datetime.date(2004, 8, 6))","(datetime.date(2004, 8, 7), datetime.date(2004, 9, 5))",0.06818675994873225
"('BKNG', 'VRSN')","(datetime.date(2003, 9, 9), datetime.date(2004, 9, 7))","(datetime.date(2004, 9, 8), datetime.date(2004, 10, 7))",-0.07910156249999645
"('BKNG', 'EQIX')","(datetime.date(2003, 10, 8), datetime.date(2004, 10, 6))","(datetime.date(2004, 10, 7), datetime.date(2004, 11, 5))",1.0808849334716761
"('BKNG', 'EQIX')","(datetime.date(2003, 11, 6), datetime.date(2004, 11, 4))","(datetime.date(2004, 11, 5), datetime.date(2004, 12, 4))",-0.07445526123046875
"('BKNG', 'EQIX')","(datetime.date(2003, 12, 8), datetime.date(2004, 12, 6))","(datetime.date(2004, 12, 7), datetime.date(2005, 1, 5))",0.7086677551269531
"('BKNG', 'EQIX')","(datetime.date(2004, 1, 8), datetime.date(2005, 1, 6))","(datetime.date(2005, 1, 7), datetime.date(2005, 2, 5))",-3.051361083984375
"('BKNG', 'EQIX')","(datetime.date(2004, 2, 9), datetime.date(2005, 2, 7))","(datetime.date(2005, 2, 8), datetime.date(2005, 3, 9))",5.990821838378903
"('BKNG', 'EQIX')","(datetime.date(2004, 3, 10), datetime.date(2005, 3, 9))","(datetime.date(2005, 3, 10), datetime.date(2005, 4, 8))",-0.031080245971679688
"('BKNG', 'EQIX')","(datetime.date(2004, 4, 8), datetime.date(2005, 4, 7))","(datetime.date(2005, 4, 8), datetime.date(2005, 5, 7))",1.315261840820316
"('BKNG', 'EQIX')","(datetime.date(2004, 5, 10), datetime.date(2005, 5, 9))","(datetime.date(2005, 5, 10), datetime.date(2005, 6, 8))",0.0
"('BKNG', 'EQIX')","(datetime.date(2004, 6, 9), datetime.date(2005, 6, 8))","(datetime.date(2005, 6, 9), datetime.date(2005, 7, 8))",-0.13512420654296875
"('BKNG', 'EQIX')","(datetime.date(2004, 7, 12), datetime.date(2005, 7, 11))","(datetime.date(2005, 7, 12), datetime.date(2005, 8, 10))",1.0834083557128906
"('BKNG', 'EQIX')","(datetime.date(2004, 8, 10), datetime.date(2005, 8, 9))","(datetime.date(2005, 8, 10), datetime.date(2005, 9, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2004, 9, 9), datetime.date(2005, 9, 8))","(datetime.date(2005, 9, 9), datetime.date(2005, 10, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2004, 10, 8), datetime.date(2005, 10, 7))","(datetime.date(2005, 10, 8), datetime.date(2005, 11, 6))",-0.005941390991209161
"('GOOGL', 'GOOG')","(datetime.date(2004, 11, 8), datetime.date(2005, 11, 7))","(datetime.date(2005, 11, 8), datetime.date(2005, 12, 7))",-0.001683235168460584
"('GOOGL', 'GOOG')","(datetime.date(2004, 12, 8), datetime.date(2005, 12, 7))","(datetime.date(2005, 12, 8), datetime.date(2006, 1, 6))",-0.006467819213863635
"('GOOGL', 'GOOG')","(datetime.date(2005, 1, 7), datetime.date(2006, 1, 6))","(datetime.date(2006, 1, 7), datetime.date(2006, 2, 5))",0.00911045074462713
"('GOOGL', 'GOOG')","(datetime.date(2005, 2, 8), datetime.date(2006, 2, 7))","(datetime.date(2006, 2, 8), datetime.date(2006, 3, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2005, 3, 10), datetime.date(2006, 3, 9))","(datetime.date(2006, 3, 10), datetime.date(2006, 4, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2005, 4, 11), datetime.date(2006, 4, 10))","(datetime.date(2006, 4, 11), datetime.date(2006, 5, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2005, 5, 10), datetime.date(2006, 5, 9))","(datetime.date(2006, 5, 10), datetime.date(2006, 6, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2005, 6, 9), datetime.date(2006, 6, 8))","(datetime.date(2006, 6, 9), datetime.date(2006, 7, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2005, 7, 11), datetime.date(2006, 7, 10))","(datetime.date(2006, 7, 11), datetime.date(2006, 8, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2005, 8, 9), datetime.date(2006, 8, 8))","(datetime.date(2006, 8, 9), datetime.date(2006, 9, 7))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2005, 9, 8), datetime.date(2006, 9, 7))","(datetime.date(2006, 9, 8), datetime.date(2006, 10, 7))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2005, 10, 7), datetime.date(2006, 10, 6))","(datetime.date(2006, 10, 7), datetime.date(2006, 11, 5))",-0.00142669677734375
"('GOOGL', 'GOOG')","(datetime.date(2005, 11, 7), datetime.date(2006, 11, 6))","(datetime.date(2006, 11, 7), datetime.date(2006, 12, 6))",-0.0018987655639630674
"('GOOGL', 'GOOG')","(datetime.date(2005, 12, 7), datetime.date(2006, 12, 6))","(datetime.date(2006, 12, 7), datetime.date(2007, 1, 5))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2006, 1, 9), datetime.date(2007, 1, 8))","(datetime.date(2007, 1, 9), datetime.date(2007, 2, 7))",0.005406379699708808
"('GOOGL', 'GOOG')","(datetime.date(2006, 2, 8), datetime.date(2007, 2, 7))","(datetime.date(2007, 2, 8), datetime.date(2007, 3, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2006, 3, 10), datetime.date(2007, 3, 9))","(datetime.date(2007, 3, 10), datetime.date(2007, 4, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2006, 4, 10), datetime.date(2007, 4, 9))","(datetime.date(2007, 4, 10), datetime.date(2007, 5, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2006, 5, 10), datetime.date(2007, 5, 9))","(datetime.date(2007, 5, 10), datetime.date(2007, 6, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2006, 6, 9), datetime.date(2007, 6, 8))","(datetime.date(2007, 6, 9), datetime.date(2007, 7, 8))",-0.0009241104125976562
"('GOOGL', 'GOOG')","(datetime.date(2006, 7, 11), datetime.date(2007, 7, 10))","(datetime.date(2007, 7, 11), datetime.date(2007, 8, 9))",0.002862930297853339
"('GOOGL', 'GOOG')","(datetime.date(2006, 8, 9), datetime.date(2007, 8, 8))","(datetime.date(2007, 8, 9), datetime.date(2007, 9, 7))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2006, 9, 8), datetime.date(2007, 9, 7))","(datetime.date(2007, 9, 8), datetime.date(2007, 10, 7))",-0.004846572875974786
"('GOOGL', 'GOOG')","(datetime.date(2006, 10, 9), datetime.date(2007, 10, 8))","(datetime.date(2007, 10, 9), datetime.date(2007, 11, 7))",-0.014888763427739704
"('GOOGL', 'GOOG')","(datetime.date(2006, 11, 7), datetime.date(2007, 11, 6))","(datetime.date(2007, 11, 7), datetime.date(2007, 12, 6))",0.0020809173583984375
"('GOOGL', 'GOOG')","(datetime.date(2006, 12, 7), datetime.date(2007, 12, 6))","(datetime.date(2007, 12, 7), datetime.date(2008, 1, 5))",0.0068073272705078125
"('GOOGL', 'GOOG')","(datetime.date(2007, 1, 10), datetime.date(2008, 1, 9))","(datetime.date(2008, 1, 10), datetime.date(2008, 2, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2007, 2, 9), datetime.date(2008, 2, 8))","(datetime.date(2008, 2, 9), datetime.date(2008, 3, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2007, 3, 13), datetime.date(2008, 3, 11))","(datetime.date(2008, 3, 12), datetime.date(2008, 4, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2007, 4, 12), datetime.date(2008, 4, 10))","(datetime.date(2008, 4, 11), datetime.date(2008, 5, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2007, 5, 11), datetime.date(2008, 5, 9))","(datetime.date(2008, 5, 10), datetime.date(2008, 6, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2007, 6, 12), datetime.date(2008, 6, 10))","(datetime.date(2008, 6, 11), datetime.date(2008, 7, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2007, 7, 12), datetime.date(2008, 7, 10))","(datetime.date(2008, 7, 11), datetime.date(2008, 8, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2007, 8, 10), datetime.date(2008, 8, 8))","(datetime.date(2008, 8, 9), datetime.date(2008, 9, 7))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2007, 9, 11), datetime.date(2008, 9, 9))","(datetime.date(2008, 9, 10), datetime.date(2008, 10, 9))",-0.004938125610355115
"('GOOGL', 'GOOG')","(datetime.date(2007, 10, 10), datetime.date(2008, 10, 8))","(datetime.date(2008, 10, 9), datetime.date(2008, 11, 7))",0.0077333450317347285
"('GOOGL', 'GOOG')","(datetime.date(2007, 11, 8), datetime.date(2008, 11, 6))","(datetime.date(2008, 11, 7), datetime.date(2008, 12, 6))",-0.004089832305908203
"('GOOGL', 'GOOG')","(datetime.date(2007, 12, 10), datetime.date(2008, 12, 8))","(datetime.date(2008, 12, 9), datetime.date(2009, 1, 7))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2008, 1, 10), datetime.date(2009, 1, 8))","(datetime.date(2009, 1, 9), datetime.date(2009, 2, 7))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2008, 2, 11), datetime.date(2009, 2, 9))","(datetime.date(2009, 2, 10), datetime.date(2009, 3, 11))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2008, 3, 12), datetime.date(2009, 3, 11))","(datetime.date(2009, 3, 12), datetime.date(2009, 4, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2008, 4, 11), datetime.date(2009, 4, 10))","(datetime.date(2009, 4, 11), datetime.date(2009, 5, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2008, 5, 12), datetime.date(2009, 5, 11))","(datetime.date(2009, 5, 12), datetime.date(2009, 6, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2008, 6, 11), datetime.date(2009, 6, 10))","(datetime.date(2009, 6, 11), datetime.date(2009, 7, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2008, 7, 11), datetime.date(2009, 7, 10))","(datetime.date(2009, 7, 11), datetime.date(2009, 8, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2008, 8, 11), datetime.date(2009, 8, 10))","(datetime.date(2009, 8, 11), datetime.date(2009, 9, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2008, 9, 10), datetime.date(2009, 9, 9))","(datetime.date(2009, 9, 10), datetime.date(2009, 10, 9))",-0.0032882690429723027
"('GOOGL', 'GOOG')","(datetime.date(2008, 10, 9), datetime.date(2009, 10, 8))","(datetime.date(2009, 10, 9), datetime.date(2009, 11, 7))",-0.004097938537597656
"('GOOGL', 'GOOG')","(datetime.date(2008, 11, 7), datetime.date(2009, 11, 6))","(datetime.date(2009, 11, 7), datetime.date(2009, 12, 6))",-0.0026445388793963076
"('GOOGL', 'GOOG')","(datetime.date(2008, 12, 9), datetime.date(2009, 12, 8))","(datetime.date(2009, 12, 9), datetime.date(2010, 1, 7))",-0.000597953796383166
"('GOOGL', 'GOOG')","(datetime.date(2009, 1, 9), datetime.date(2010, 1, 8))","(datetime.date(2010, 1, 9), datetime.date(2010, 2, 7))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2009, 2, 10), datetime.date(2010, 2, 9))","(datetime.date(2010, 2, 10), datetime.date(2010, 3, 11))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2009, 3, 12), datetime.date(2010, 3, 11))","(datetime.date(2010, 3, 12), datetime.date(2010, 4, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2009, 4, 13), datetime.date(2010, 4, 12))","(datetime.date(2010, 4, 13), datetime.date(2010, 5, 12))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2009, 5, 12), datetime.date(2010, 5, 11))","(datetime.date(2010, 5, 12), datetime.date(2010, 6, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2009, 6, 11), datetime.date(2010, 6, 10))","(datetime.date(2010, 6, 11), datetime.date(2010, 7, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2009, 7, 13), datetime.date(2010, 7, 12))","(datetime.date(2010, 7, 13), datetime.date(2010, 8, 11))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2009, 8, 11), datetime.date(2010, 8, 10))","(datetime.date(2010, 8, 11), datetime.date(2010, 9, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2009, 9, 10), datetime.date(2010, 9, 9))","(datetime.date(2010, 9, 10), datetime.date(2010, 10, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2009, 10, 9), datetime.date(2010, 10, 8))","(datetime.date(2010, 10, 9), datetime.date(2010, 11, 7))",-0.0005769729614257812
"('GOOGL', 'GOOG')","(datetime.date(2009, 11, 9), datetime.date(2010, 11, 8))","(datetime.date(2010, 11, 9), datetime.date(2010, 12, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2009, 12, 9), datetime.date(2010, 12, 8))","(datetime.date(2010, 12, 9), datetime.date(2011, 1, 7))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2010, 1, 11), datetime.date(2011, 1, 10))","(datetime.date(2011, 1, 11), datetime.date(2011, 2, 9))",0.0009260177612322451
"('GOOGL', 'GOOG')","(datetime.date(2010, 2, 10), datetime.date(2011, 2, 9))","(datetime.date(2011, 2, 10), datetime.date(2011, 3, 11))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2010, 3, 12), datetime.date(2011, 3, 11))","(datetime.date(2011, 3, 12), datetime.date(2011, 4, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2010, 4, 13), datetime.date(2011, 4, 12))","(datetime.date(2011, 4, 13), datetime.date(2011, 5, 12))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2010, 5, 12), datetime.date(2011, 5, 11))","(datetime.date(2011, 5, 12), datetime.date(2011, 6, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2010, 6, 11), datetime.date(2011, 6, 10))","(datetime.date(2011, 6, 11), datetime.date(2011, 7, 10))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2010, 7, 13), datetime.date(2011, 7, 12))","(datetime.date(2011, 7, 13), datetime.date(2011, 8, 11))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2010, 8, 11), datetime.date(2011, 8, 10))","(datetime.date(2011, 8, 11), datetime.date(2011, 9, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2010, 9, 10), datetime.date(2011, 9, 9))","(datetime.date(2011, 9, 10), datetime.date(2011, 10, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2010, 10, 11), datetime.date(2011, 10, 10))","(datetime.date(2011, 10, 11), datetime.date(2011, 11, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2010, 11, 9), datetime.date(2011, 11, 8))","(datetime.date(2011, 11, 9), datetime.date(2011, 12, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2010, 12, 9), datetime.date(2011, 12, 8))","(datetime.date(2011, 12, 9), datetime.date(2012, 1, 7))",0.001811981201171875
"('GOOGL', 'GOOG')","(datetime.date(2011, 1, 10), datetime.date(2012, 1, 9))","(datetime.date(2012, 1, 10), datetime.date(2012, 2, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2011, 2, 9), datetime.date(2012, 2, 8))","(datetime.date(2012, 2, 9), datetime.date(2012, 3, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2011, 3, 11), datetime.date(2012, 3, 9))","(datetime.date(2012, 3, 10), datetime.date(2012, 4, 8))",0.0008640289306640625
"('GOOGL', 'GOOG')","(datetime.date(2011, 4, 11), datetime.date(2012, 4, 9))","(datetime.date(2012, 4, 10), datetime.date(2012, 5, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2011, 5, 11), datetime.date(2012, 5, 9))","(datetime.date(2012, 5, 10), datetime.date(2012, 6, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2011, 6, 10), datetime.date(2012, 6, 8))","(datetime.date(2012, 6, 9), datetime.date(2012, 7, 8))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2011, 7, 12), datetime.date(2012, 7, 10))","(datetime.date(2012, 7, 11), datetime.date(2012, 8, 9))",0.0
"('GOOGL', 'GOOG')","(datetime.date(2011, 8, 10), datetime.date(2012, 8, 8))","(datetime.date(2012, 8, 9), datetime.date(2012, 9, 7))",-0.004405975341796875
"('GOOGL', 'GOOG')","(datetime.date(2011, 9, 9), datetime.date(2012, 9, 7))","(datetime.date(2012, 9, 8), datetime.date(2012, 10, 7))",-0.007863998413085938
"('GOOGL', 'GOOG')","(datetime.date(2011, 10, 10), datetime.date(2012, 10, 8))","(datetime.date(2012, 10, 9), datetime.date(2012, 11, 7))",0.005769729614261365
